OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
0.5 -0.866025 -0.000458037 0.000660901 0.513156 42.6224 42.8059 5 -8.66025 -440.256 
0.499013 -0.864317 -0.000356344 0.000481269 0.517127 42.6872 42.8862 4.99013 -8.64317 -445.238 
0.496057 -0.859197 -0.000289752 0.000364544 0.519793 42.7309 42.9399 4.96057 -8.59197 -445.221 
0.491144 -0.850686 -0.000246486 0.000289098 0.521575 42.7602 42.9757 4.91144 -8.50686 -441.964 
0.484292 -0.838818 -0.000218462 0.000240399 0.522765 42.7798 42.9996 4.84292 -8.38818 -436.291 
0.475528 -0.823639 -0.000200329 0.000208959 0.523561 42.793 43.0155 4.75528 -8.23639 -428.592 
0.464888 -0.80521 -0.000188604 0.000188662 0.524093 42.8018 43.0261 4.64888 -8.0521 -419.061 
0.452414 -0.783603 -0.000181041 0.000175582 0.524452 42.8078 43.0332 4.52414 -7.83604 -407.808 
0.438153 -0.758904 -0.000176194 0.000167206 0.524694 42.8119 43.038 4.38154 -7.58904 -394.912 
0.422164 -0.73121 -0.000173138 0.000161927 0.524859 42.8147 43.0412 4.22164 -7.3121 -380.436 
0.404509 -0.70063 -0.000171279 0.000158717 0.524972 42.8166 43.0434 4.04509 -7.0063 -364.446 
0.385257 -0.667284 -0.000170237 0.000156919 0.52505 42.8179 43.0449 3.85257 -6.67285 -347.006 
0.364485 -0.631306 -0.000169772 0.000156115 0.525104 42.8189 43.046 3.64485 -6.31306 -328.188 
0.342274 -0.592836 -0.00016973 0.000156043 0.525143 42.8196 43.0467 3.42274 -5.92836 -308.066 
0.318712 -0.552026 -0.000170019 0.000156542 0.52517 42.8201 43.0472 3.18712 -5.52026 -286.721 
0.293893 -0.509037 -0.000170587 0.000157521 0.525189 42.8205 43.0475 2.93893 -5.09038 -264.235 
0.267914 -0.46404 -0.000171407 0.000158937 0.525204 42.8208 43.0477 2.67914 -4.64041 -240.698 
0.240877 -0.417211 -0.000172475 0.000160779 0.525214 42.8211 43.0478 2.40877 -4.17212 -216.204 
