OUT_TIME 0.01
# ext_x ext_y center_x center_y angle theta1 theta2 moment3_norm moment3_angle ext_potential
5.82235e-17 0.950862 6.36327e-17 0.0938193 -8.11925e-15 4.97853 -1.83694 5.82116e-16 9.50667 401.967 
5.9299e-17 0.968427 1.08052e-16 0.0983763 -1.13691e-14 5.14959 -2.008 5.92894e-16 9.6827 375.854 
6.01405e-17 0.982169 1.94396e-16 0.104798 -1.54418e-14 5.39063 -2.24903 6.01333e-16 9.82051 314.925 
6.07447e-17 0.992036 3.44606e-16 0.113327 -1.95365e-14 5.71079 -2.5692 6.07398e-16 9.91956 201.88 
6.11091e-17 0.997987 5.58986e-16 0.123549 -2.19447e-14 6.09448 -2.95289 6.11066e-16 9.97947 37.2381 
6.12323e-17 1 7.90745e-16 0.134146 -2.1228e-14 6.49229 -3.3507 6.12323e-16 9.99999 -140.33 
6.11139e-17 0.998066 9.76664e-16 0.143543 -1.79019e-14 6.84503 -3.70343 6.11163e-16 9.98105 -279.728 
6.07543e-17 0.992193 1.09357e-15 0.150875 -1.37353e-14 7.12024 -3.97864 6.07591e-16 9.92271 -363.221 
6.01549e-17 0.982405 1.15653e-15 0.156146 -1.00239e-14 7.3181 -4.1765 6.01621e-16 9.82522 -403.653 
5.93182e-17 0.968739 1.18781e-15 0.159775 -7.14782e-15 7.4543 -4.3127 5.93277e-16 9.68895 -418.859 
5.82473e-17 0.95125 1.20283e-15 0.162223 -5.08722e-15 7.54622 -4.40463 5.82591e-16 9.51444 -420.739 
5.69465e-17 0.930008 1.21002e-15 0.163865 -3.66603e-15 7.60783 -4.46623 5.69607e-16 9.30238 -415.545 
5.5421e-17 0.905094 1.21354e-15 0.164964 -2.71682e-15 7.6491 -4.50751 5.54374e-16 9.05361 -406.26 
5.36768e-17 0.876609 1.21531e-15 0.165704 -2.05289e-15 7.67686 -4.53527 5.36953e-16 8.76911 -394.266 
5.17208e-17 0.844664 1.21622e-15 0.166204 -1.60275e-15 7.69563 -4.55404 5.17414e-16 8.45001 -380.215 
4.95606e-17 0.809386 1.21672e-15 0.166545 -1.29253e-15 7.70842 -4.56683 4.95832e-16 8.09755 -364.43 
4.72048e-17 0.770914 1.21699e-15 0.166779 -1.04694e-15 7.71722 -4.57563 4.72293e-16 7.71314 -347.096 
4.46628e-17 0.729399 1.21715e-15 0.166942 -8.52107e-16 7.72334 -4.58174 4.46891e-16 7.29828 -328.336 
4.19445e-17 0.685005 1.21724e-15 0.167056 -7.10923e-16 7.72763 -4.58604 4.19725e-16 6.85463 -308.249 
3.90606e-17 0.637908 1.21729e-15 0.167138 -6.20648e-16 7.7307 -4.5891 3.90902e-16 6.38392 -286.926 
3.60226e-17 0.588293 1.21732e-15 0.167197 -5.69595e-16 7.73291 -4.59131 3.60537e-16 5.88801 -264.457 
3.28424e-17 0.536357 1.21735e-15 0.16724 -5.418e-16 7.73453 -4.59294 3.28749e-16 5.36887 -240.934 
2.95326e-17 0.482304 1.21737e-15 0.167273 -5.24183e-16 7.73575 -4.59416 2.95663e-16 4.82854 -216.45 
2.61063e-17 0.426348 1.21738e-15 0.167297 -5.19667e-16 7.73668 -4.59509 2.61411e-16 4.26916 -191.103 
2.25769e-17 0.368709 1.21739e-15 0.167317 -5.16494e-16 7.73741 -4.59582 2.26127e-16 3.69293 -164.994 
1.89584e-17 0.309614 1.2174e-15 0.167333 -5.13795e-16 7.738 -4.59641 1.8995e-16 3.10212 -138.225 
1.52651e-17 0.249298 1.2174e-15 0.167346 -5.11569e-16 7.7385 -4.59691 1.53024e-16 2.49907 -110.903 
1.15116e-17 0.187998 1.21741e-15 0.167357 -5.09825e-16 7.73893 -4.59734 1.15494e-16 1.88616 -83.1351 
7.71262e-18 0.125957 1.21741e-15 0.167368 -5.08575e-16 7.73933 -4.59774 7.75078e-17 1.2658 -55.0309 
3.88321e-18 0.0634176 1.21742e-15 0.167378 -5.07821e-16 7.73972 -4.59813 3.9216e-17 0.640446 -26.7015 
3.84734e-20 0.000628318 1.21742e-15 0.167389 -5.07564e-16 7.74011 -4.59852 7.69468e-19 0.0125664 1.7412 
-3.80641e-18 -0.0621634 1.21743e-15 0.1674 -5.07807e-16 7.74053 -4.59894 -3.76801e-17 -0.615363 30.185 
-7.63628e-18 -0.12471 1.21744e-15 0.167412 -5.08548e-16 7.741 -4.5994 -7.5981e-17 -1.24086 58.5176 
-1.1436e-17 -0.186764 1.21744e-15 0.167427 -5.09787e-16 7.74154 -4.59994 -1.13982e-16 -1.86147 86.6272 
-1.51906e-17 -0.248081 1.21745e-15 0.167444 -5.11521e-16 7.74218 -4.60059 -1.51533e-16 -2.47473 114.403 
-1.88852e-17 -0.308419 1.21746e-15 0.167465 -5.13742e-16 7.74298 -4.60138 -1.88486e-16 -3.07822 141.734 
-2.25054e-17 -0.36754 1.21748e-15 0.167492 -5.16429e-16 7.74397 -4.60238 -2.24696e-16 -3.66956 168.514 
-2.60366e-17 -0.425211 1.21749e-15 0.167526 -5.19581e-16 7.74525 -4.60366 -2.60018e-16 -4.24642 194.636 
-2.94652e-17 -0.481203 1.21751e-15 0.16757 -5.232e-16 7.74692 -4.60533 -2.94315e-16 -4.80652 219.996 
-3.27774e-17 -0.535296 1.21754e-15 0.167629 -5.27286e-16 7.74913 -4.60754 -3.27449e-16 -5.34765 244.493 
-3.59603e-17 -0.587277 1.21759e-15 0.167709 -5.31751e-16 7.75212 -4.61052 -3.59292e-16 -5.86768 268.028 
-3.90013e-17 -0.63694 1.21765e-15 0.167817 -5.36622e-16 7.75618 -4.61459 -3.89716e-16 -6.36455 290.504 
-4.18884e-17 -0.684089 1.21773e-15 0.167967 -5.50914e-16 7.76181 -4.62022 -4.18603e-16 -6.83631 311.822 
-4.46101e-17 -0.728538 1.21785e-15 0.168177 -5.73529e-16 7.76968 -4.62809 -4.45837e-16 -7.28108 331.88 
-4.71558e-17 -0.770113 1.21802e-15 0.168473 -6.0142e-16 7.78083 -4.63923 -4.71312e-16 -7.69712 350.559 
-4.95154e-17 -0.808648 1.21828e-15 0.168898 -6.38609e-16 7.79676 -4.65517 -4.94927e-16 -8.08278 367.705 
-5.16795e-17 -0.843991 1.21869e-15 0.169511 -6.95231e-16 7.81977 -4.67818 -5.16589e-16 -8.43654 383.076 
-5.36398e-17 -0.876004 1.21935e-15 0.170403 -7.68233e-16 7.85327 -4.71167 -5.36212e-16 -8.75701 396.234 
-5.53883e-17 -0.904559 1.22042e-15 0.17171 -8.67113e-16 7.90233 -4.76073 -5.53719e-16 -9.04291 406.309 
-5.69182e-17 -0.929545 1.22222e-15 0.173632 -1.00792e-15 7.97447 -4.83288 -5.6904e-16 -9.29313 411.486 
-5.82235e-17 -0.950862 1.22527e-15 0.176457 -1.13581e-15 8.08052 -4.93893 -5.82116e-16 -9.50667 407.958 
-5.9299e-17 -0.968427 1.23018e-15 0.180576 -1.24473e-15 8.23514 -5.09354 -5.92894e-16 -9.6827 388.075 
-6.01405e-17 -0.982169 1.23792e-15 0.186445 -1.39514e-15 8.45544 -5.31385 -6.01333e-16 -9.82051 338.176 
-6.07447e-17 -0.992036 1.24988e-15 0.194404 -1.59999e-15 8.7542 -5.61261 -6.07398e-16 -9.91956 240.263 
-6.11091e-17 -0.997987 1.26663e-15 0.204265 -1.77565e-15 9.12433 -5.98274 -6.11066e-16 -9.97947 87.1983 
-6.12323e-17 -1 1.28581e-15 0.214934 -1.78966e-15 9.52481 -6.38321 -6.12323e-16 -9.99999 -92.6596 
-6.11139e-17 -0.998066 1.30285e-15 0.224793 -1.64309e-15 9.89489 -6.7533 -6.11163e-16 -9.98105 -246.096 
-6.07543e-17 -0.992193 1.31516e-15 0.232723 -1.44493e-15 10.1926 -7.05099 -6.07591e-16 -9.92271 -344.166 
-6.01549e-17 -0.982405 1.32281e-15 0.238529 -1.16899e-15 10.4105 -7.2689 -6.01621e-16 -9.82522 -394.132 
-5.93182e-17 -0.968739 1.32722e-15 0.242562 -1.02403e-15 10.5619 -7.42031 -5.93277e-16 -9.68895 -414.377 
-5.82473e-17 -0.95125 1.32995e-15 0.245297 -9.91274e-16 10.6645 -7.52295 -5.82591e-16 -9.51444 -418.676 
-5.69465e-17 -0.930008 1.33184e-15 0.247133 -1.04237e-15 10.7335 -7.59189 -5.69607e-16 -9.30238 -414.598 
-5.5421e-17 -0.905094 1.33314e-15 0.248365 -1.03395e-15 10.7797 -7.63812 -5.54374e-16 -9.05361 -405.822 
-5.36768e-17 -0.876609 1.33399e-15 0.249193 -1.01991e-15 10.8108 -7.66921 -5.36953e-16 -8.76911 -394.061 
-5.17208e-17 -0.844664 1.33455e-15 0.249754 -1.02564e-15 10.8318 -7.69025 -5.17414e-16 -8.45001 -380.116 
-4.95606e-17 -0.809386 1.33493e-15 0.250135 -1.02414e-15 10.8462 -7.70459 -4.95832e-16 -8.09755 -364.382 
-4.72048e-17 -0.770914 1.3352e-15 0.250398 -1.07969e-15 10.856 -7.71444 -4.72293e-16 -7.71314 -347.072 
-4.46628e-17 -0.729399 1.33541e-15 0.250581 -1.24607e-15 10.8629 -7.72129 -4.46891e-16 -7.29828 -328.323 
-4.19445e-17 -0.685005 1.33557e-15 0.250709 -1.37569e-15 10.8677 -7.7261 -4.19725e-16 -6.85463 -308.242 
-3.90606e-17 -0.637908 1.3357e-15 0.2508 -1.49412e-15 10.8711 -7.72953 -3.90902e-16 -6.38392 -286.922 
-3.60226e-17 -0.588293 1.33581e-15 0.250866 -1.54922e-15 10.8736 -7.732 -3.60537e-16 -5.88801 -264.455 
-3.28424e-17 -0.536357 1.33588e-15 0.250914 -1.59921e-15 10.8754 -7.73381 -3.28749e-16 -5.36887 -240.932 
-2.95326e-17 -0.482304 1.33594e-15 0.25095 -1.67426e-15 10.8768 -7.73516 -2.95663e-16 -4.82854 -216.449 
-2.61063e-17 -0.426348 1.33599e-15 0.250978 -1.75784e-15 10.8778 -7.73619 -2.61411e-16 -4.26916 -191.103 
-2.25769e-17 -0.368709 1.33603e-15 0.250999 -1.83717e-15 10.8786 -7.737 -2.26127e-16 -3.69293 -164.994 
-1.89584e-17 -0.309614 1.33606e-15 0.251016 -1.91516e-15 10.8792 -7.73764 -1.8995e-16 -3.10212 -138.225 
-1.52651e-17 -0.249298 1.33609e-15 0.25103 -1.97876e-15 10.8798 -7.73818 -1.53024e-16 -2.49907 -110.903 
-1.15116e-17 -0.187998 1.33611e-15 0.251043 -2.02485e-15 10.8802 -7.73864 -1.15494e-16 -1.88616 -83.1349 
-7.71262e-18 -0.125957 1.33613e-15 0.251054 -2.05751e-15 10.8807 -7.73906 -7.75078e-17 -1.2658 -55.0308 
-3.88321e-18 -0.0634176 1.33616e-15 0.251065 -2.07449e-15 10.8811 -7.73946 -3.9216e-17 -0.640446 -26.7014 
-3.84734e-20 -0.000628318 1.33618e-15 0.251075 -2.07584e-15 10.8814 -7.73986 -7.69468e-19 -0.0125664 1.74131 
3.80641e-18 0.0621634 1.3362e-15 0.251086 -2.0532e-15 10.8819 -7.74027 3.76801e-17 0.615363 30.1851 
7.63628e-18 0.12471 1.33623e-15 0.251098 -1.99323e-15 10.8823 -7.74073 7.5981e-17 1.24086 58.5178 
1.1436e-17 0.186764 1.33625e-15 0.251112 -1.91625e-15 10.8828 -7.74125 1.13982e-16 1.86147 86.6274 
1.51906e-17 0.248081 1.33628e-15 0.251129 -1.82589e-15 10.8835 -7.74187 1.51533e-16 2.47473 114.403 
1.88852e-17 0.308419 1.33632e-15 0.251149 -1.7025e-15 10.8842 -7.74263 1.88486e-16 3.07822 141.735 
2.25054e-17 0.36754 1.33636e-15 0.251174 -1.53394e-15 10.8852 -7.74358 2.24696e-16 3.66956 168.515 
2.60366e-17 0.425211 1.33641e-15 0.251207 -1.33334e-15 10.8864 -7.74479 2.60018e-16 4.24642 194.637 
2.94652e-17 0.481203 1.33646e-15 0.251249 -1.07645e-15 10.888 -7.74637 2.94315e-16 4.80652 219.997 
3.27774e-17 0.535296 1.33651e-15 0.251304 -7.4822e-16 10.8901 -7.74846 3.27449e-16 5.34765 244.495 
3.59603e-17 0.587277 1.33655e-15 0.251379 -3.2415e-16 10.8929 -7.75128 3.59292e-16 5.86768 268.032 
3.90013e-17 0.63694 1.33655e-15 0.251482 2.67142e-16 10.8967 -7.75511 3.89716e-16 6.36455 290.509 
4.18884e-17 0.684089 1.33645e-15 0.251623 1.15424e-15 10.902 -7.76042 4.18603e-16 6.83631 311.832 
4.46101e-17 0.728538 1.3361e-15 0.251821 2.4897e-15 10.9094 -7.76784 4.45837e-16 7.28108 331.898 
4.71558e-17 0.770113 1.33513e-15 0.2521 4.44012e-15 10.9199 -7.77834 4.71312e-16 7.69712 350.595 
4.95154e-17 0.808648 1.3328e-15 0.252501 7.21954e-15 10.935 -7.79336 4.94927e-16 8.08278 367.776 
5.16795e-17 0.843991 1.32748e-15 0.253078 1.12367e-14 10.9566 -7.81505 5.16589e-16 8.43654 383.218 
5.36398e-17 0.876004 1.31558e-15 0.253919 1.71414e-14 10.9882 -7.84661 5.36212e-16 8.75701 396.526 
5.53883e-17 0.904559 1.28915e-15 0.255151 2.58481e-14 11.0345 -7.89287 5.53719e-16 9.04291 406.92 
5.69182e-17 0.929545 1.23082e-15 0.256964 3.86061e-14 11.1025 -7.96092 5.6904e-16 9.29313 412.773 
5.82235e-17 0.950862 1.10335e-15 0.259633 5.70384e-14 11.2027 -8.06108 5.82116e-16 9.50667 410.67 
5.9299e-17 0.968427 8.30576e-16 0.263532 8.2854e-14 11.3491 -8.20746 5.92894e-16 9.6827 393.668 
6.01405e-17 0.982169 2.72408e-16 0.269118 1.16658e-13 11.5587 -8.41712 6.01333e-16 9.82051 349.054 
6.07447e-17 0.992036 -7.7088e-16 0.276766 1.54729e-13 11.8458 -8.70422 6.07398e-16 9.91956 258.943 
6.11091e-17 0.997987 -2.42302e-15 0.286397 1.85008e-13 12.2073 -9.06574 6.11066e-16 9.97947 113.002 
6.12323e-17 1 -4.45326e-15 0.29705 1.91221e-13 12.6072 -9.46562 6.12323e-16 9.99999 -66.2944 
6.11139e-17 0.998066 -6.29299e-15 0.307121 1.69556e-13 12.9852 -9.84364 6.11163e-16 9.98105 -226.381 
6.07543e-17 0.992193 -7.55389e-15 0.315366 1.33385e-13 13.2947 -10.1531 6.07591e-16 9.92271 -332.565 
6.01549e-17 0.982405 -8.26304e-15 0.321468 9.75124e-14 13.5238 -10.3822 6.01621e-16 9.82522 -388.215 
5.93182e-17 0.968739 -8.61876e-15 0.325732 6.85544e-14 13.6838 -10.5422 5.93277e-16 9.68895 -411.564 
5.82473e-17 0.95125 -8.78723e-15 0.328631 4.72612e-14 13.7927 -10.6511 5.82591e-16 9.51444 -417.375 
