One group  442
0.314159 0.628319 -70.264 
0.314159 0.942478 -61.4322 
0.314159 1.25664 -50.3035 
0.314159 1.5708 -37.9672 
0.314159 1.88496 -25.6309 
0.314159 2.19911 -14.5022 
0.314159 2.51327 -5.67037 
0.314159 2.82743 0 
0.314159 3.14159 1.95388 
0.628319 -3.14159 7.62425 
0.628319 -2.82743 5.67037 
0.628319 -2.51327 -7.10543e-15 
0.628319 -2.19911 -8.83181 
0.628319 -1.88496 -19.9605 
0.628319 -1.5708 -32.2968 
0.628319 -1.25664 -44.6331 
0.628319 -0.942478 -55.7618 
0.628319 -0.628319 -64.5936 
0.628319 -0.314159 -70.264 
0.628319 0 -72.2179 
0.628319 0.314159 -70.264 
0.628319 0.628319 -64.5936 
0.628319 0.942478 -55.7618 
0.628319 1.25664 -44.6331 
0.628319 1.5708 -32.2968 
0.628319 1.88496 -19.9605 
0.628319 2.19911 -8.83181 
0.628319 2.51327 -7.10543e-15 
0.628319 2.82743 5.67037 
0.628319 3.14159 7.62425 
0.942478 -3.14159 16.4561 
0.942478 -2.82743 14.5022 
0.942478 -2.51327 8.83181 
0.942478 -2.19911 -7.10543e-15 
0.942478 -1.88496 -11.1287 
0.942478 -1.5708 -23.465 
0.942478 -1.25664 -35.8013 
0.942478 -0.942478 -46.93 
0.942478 -0.628319 -55.7618 
0.942478 -0.314159 -61.4322 
0.942478 0 -63.3861 
0.942478 0.314159 -61.4322 
0.942478 0.628319 -55.7618 
0.942478 0.942478 -46.93 
0.942478 1.25664 -35.8013 
0.942478 1.5708 -23.465 
0.942478 1.88496 -11.1287 
0.942478 2.19911 -7.10543e-15 
0.942478 2.51327 8.83181 
0.942478 2.82743 14.5022 
0.942478 3.14159 16.4561 
1.25664 -3.14159 27.5848 
1.25664 -2.82743 25.6309 
1.25664 -2.51327 19.9605 
1.25664 -2.19911 11.1287 
1.25664 -1.88496 -3.55271e-15 
1.25664 -1.5708 -12.3363 
1.25664 -1.25664 -24.6726 
1.25664 -0.942478 -35.8013 
1.25664 -0.628319 -44.6331 
1.25664 -0.314159 -50.3035 
1.25664 0 -52.2574 
1.25664 0.314159 -50.3035 
1.25664 0.628319 -44.6331 
1.25664 0.942478 -35.8013 
1.25664 1.25664 -24.6726 
1.25664 1.5708 -12.3363 
1.25664 1.88496 -3.55271e-15 
1.25664 2.19911 11.1287 
1.25664 2.51327 19.9605 
1.25664 2.82743 25.6309 
1.25664 3.14159 27.5848 
1.5708 -3.14159 39.9211 
1.5708 -2.82743 37.9672 
1.5708 -2.51327 32.2968 
1.5708 -2.19911 23.465 
1.5708 -1.88496 12.3363 
1.5708 -1.5708 -4.88892e-15 
1.5708 -1.25664 -12.3363 
1.5708 -0.942478 -23.465 
1.5708 -0.628319 -32.2968 
1.5708 -0.314159 -37.9672 
1.5708 0 -39.9211 
1.5708 0.314159 -37.9672 
1.5708 0.628319 -32.2968 
1.5708 0.942478 -23.465 
1.5708 1.25664 -12.3363 
1.5708 1.5708 -4.88892e-15 
1.5708 1.88496 12.3363 
1.5708 2.19911 23.465 
1.5708 2.51327 32.2968 
1.5708 2.82743 37.9672 
1.5708 3.14159 39.9211 
1.88496 -3.14159 52.2574 
1.88496 -2.82743 50.3035 
1.88496 -2.51327 44.6331 
1.88496 -2.19911 35.8013 
1.88496 -1.88496 24.6726 
1.88496 -1.5708 12.3363 
1.88496 -1.25664 -3.55271e-15 
1.88496 -0.942478 -11.1287 
1.88496 -0.628319 -19.9605 
1.88496 -0.314159 -25.6309 
1.88496 0 -27.5848 
1.88496 0.314159 -25.6309 
1.88496 0.628319 -19.9605 
1.88496 0.942478 -11.1287 
1.88496 1.25664 -3.55271e-15 
1.88496 1.5708 12.3363 
1.88496 1.88496 24.6726 
1.88496 2.19911 35.8013 
1.88496 2.51327 44.6331 
1.88496 2.82743 50.3035 
1.88496 3.14159 52.2574 
2.19911 -3.14159 63.3861 
2.19911 -2.82743 61.4322 
2.19911 -2.51327 55.7618 
2.19911 -2.19911 46.93 
2.19911 -1.88496 35.8013 
2.19911 -1.5708 23.465 
2.19911 -1.25664 11.1287 
2.19911 -0.942478 -7.10543e-15 
2.19911 -0.628319 -8.83181 
2.19911 -0.314159 -14.5022 
2.19911 0 -16.4561 
2.19911 0.314159 -14.5022 
2.19911 0.628319 -8.83181 
